INSERT INTO in_the_maps (ID_Map, ID_type_elements, X, Y)
VALUES
(4, 6, 1, 1),
(4, 6, 2, 1),
(4, 6, 3, 1),
(4, 6, 4, 1),
(4, 6, 5, 1),
(4, 6, 6, 1),
(4, 6, 7, 1),
(4, 6, 8, 1),
(4, 6, 9, 1),
(4, 6, 10, 1),
(4, 6, 11, 1),
(4, 6, 12, 1),
(4, 6, 13, 1),
(4, 6, 14, 1),
(4, 6, 15, 1),
(4, 6, 16, 1),
(4, 6, 17, 1),
(4, 6, 18, 1),
(4, 6, 19, 1),
(4, 6, 20, 1),
(4, 6, 21, 1),
(4, 6, 22, 1),
(4, 6, 23, 1),
(4, 6, 24, 1),
(4, 6, 25, 1),
(4, 6, 26, 1),
(4, 6, 1, 2),
(4, 1, 2, 2),
(4, 5, 3, 2),
(4, 5, 4, 2),
(4, 5, 5, 2),
(4, 5, 6, 2),
(4, 5, 7, 2),
(4, 5, 8, 2),
(4, 5, 9, 2),
(4, 5, 10, 2),
(4, 3, 11, 2),
(4, 3, 12, 2),
(4, 5, 13, 2),
(4, 5, 14, 2),
(4, 5, 15, 2),
(4, 5, 16, 2),
(4, 5, 17, 2),
(4, 5, 18, 2),
(4, 5, 19, 2),
(4, 5, 20, 2),
(4, 5, 21, 2),
(4, 3, 22, 2),
(4, 3, 23, 2),
(4, 5, 24, 2),
(4, 5, 25, 2),
(4, 6, 26, 2),
(4, 6, 1, 3),
(4, 5, 2, 3),
(4, 5, 3, 3),
(4, 5, 4, 3),
(4, 3, 5, 3),
(4, 3, 6, 3),
(4, 3, 7, 3),
(4, 5, 8, 3),
(4, 5, 9, 3),
(4, 5, 10, 3),
(4, 5, 11, 3),
(4, 5, 12, 3),
(4, 3, 13, 3),
(4, 5, 14, 3),
(4, 6, 15, 3),
(4, 5, 16, 3),
(4, 5, 17, 3),
(4, 3, 18, 3),
(4, 3, 19, 3),
(4, 3, 20, 3),
(4, 5, 21, 3),
(4, 5, 22, 3),
(4, 5, 23, 3),
(4, 5, 24, 3),
(4, 5, 25, 3),
(4, 6, 26, 3),
(4, 6, 1, 4),
(4, 5, 2, 4),
(4, 5, 3, 4),
(4, 5, 4, 4),
(4, 5, 5, 4),
(4, 5, 6, 4),
(4, 5, 7, 4),
(4, 5, 8, 4),
(4, 6, 9, 4),
(4, 5, 10, 4),
(4, 5, 11, 4),
(4, 5, 12, 4),
(4, 5, 13, 4),
(4, 5, 14, 4),
(4, 6, 15, 4),
(4, 5, 16, 4),
(4, 5, 17, 4),
(4, 5, 18, 4),
(4, 5, 19, 4),
(4, 5, 20, 4),
(4, 5, 21, 4),
(4, 5, 22, 4),
(4, 5, 23, 4),
(4, 5, 24, 4),
(4, 5, 25, 4),
(4, 6, 26, 4),
(4, 6, 1, 5),
(4, 5, 2, 5),
(4, 5, 3, 5),
(4, 5, 4, 5),
(4, 5, 5, 5),
(4, 5, 6, 5),
(4, 5, 7, 5),
(4, 5, 8, 5),
(4, 6, 9, 5),
(4, 5, 10, 5),
(4, 5, 11, 5),
(4, 5, 12, 5),
(4, 5, 13, 5),
(4, 5, 14, 5),
(4, 6, 15, 5),
(4, 5, 16, 5),
(4, 5, 17, 5),
(4, 5, 18, 5),
(4, 5, 19, 5),
(4, 5, 20, 5),
(4, 5, 21, 5),
(4, 5, 22, 5),
(4, 5, 23, 5),
(4, 6, 24, 5),
(4, 5, 25, 5),
(4, 6, 26, 5),
(4, 6, 1, 6),
(4, 5, 2, 6),
(4, 5, 3, 6),
(4, 5, 4, 6),
